year,month,cpi,gas,electricity,food,shelter,transportation,medical_care,unemployment_rate,employment_pop_ratio,pres_political_party,cci,crude_oil,cause
1978,11,67.7,0.695,0.046,74.7,63.3,66,63.9,5.9,59.8,democrat,98.41457,0,fed raised and lowered rates
1978,12,68.1,0.705,0.046,75.1,63.5,66.4,64.1,6,59.8,democrat,98.03396,0,
1979,1,68.7,0.716,0.046,76.4,64,66.7,65,5.9,59.9,democrat,98.00642,0,"iran-iraq war, fed rate 20%"
1979,2,69.5,0.73,0.047,77.7,64.9,67,65.5,5.9,60.1,democrat,97.98978,0,
1979,3,70.3,0.755,0.047,78.4,65.5,67.4,65.9,5.8,60,democrat,97.7821,0,
1979,4,71.1,0.802,0.048,79,66.3,67.9,66.2,5.8,59.8,democrat,97.56898,0,
1979,5,71.9,0.844,0.049,79.7,67.1,68.4,66.5,5.6,59.8,democrat,97.42661,0,
1979,6,72.8,0.901,0.052,80,68,68.8,66.9,5.7,59.9,democrat,97.2275,0,
1979,7,73.7,0.949,0.053,80.5,69,69.4,67.5,5.7,60,democrat,97.0518,0,
1979,8,74.4,0.988,0.053,80.4,70.1,70.1,68.1,6,59.8,democrat,97.09181,0,
1979,9,75.1,1.02,0.053,80.9,71.1,70.7,68.6,5.9,60,democrat,97.13593,0,
1979,10,75.7,1.028,0.053,81.5,72.3,71.3,69.2,6,59.9,democrat,97.05383,0,
1979,11,76.4,1.041,0.051,82,73.5,72.3,69.8,5.9,60,democrat,97.03422,0,
1979,12,77.2,1.065,0.052,82.8,74.6,73.2,70.6,6,60.1,democrat,97.07761,0,
1980,1,78.3,1.131,0.053,83.3,75.9,74.1,71.5,6.3,60,democrat,97.16972,0,iran oil embargo
1980,2,79.4,1.207,0.055,83.4,76.8,74.9,72.6,6.3,60,democrat,96.94333,0,
1980,3,80.5,1.252,0.056,84.1,78.1,76.1,73.3,6.3,59.7,democrat,96.35494,0,
1980,4,81.4,1.264,0.056,84.7,79.3,77.7,73.8,6.9,59.4,democrat,95.89824,0,
1980,5,82.3,1.266,0.058,85.2,80.5,78.8,74.2,7.5,59.1,democrat,95.86026,0,
1980,6,83.2,1.269,0.063,85.7,82.3,79.1,74.5,7.6,58.9,democrat,96.29127,0,
1980,7,83.3,1.271,0.064,86.6,81.3,79.6,75.1,7.8,58.8,democrat,96.91462,0,
1980,8,83.8,1.267,0.064,88,81.4,80.5,75.6,7.7,58.8,democrat,97.59252,0,
1980,9,84.6,1.257,0.065,89.1,82,81.4,76.2,7.5,58.9,democrat,98.16382,0,
1980,10,85.3,1.25,0.063,89.8,83.4,81.9,76.8,7.5,58.9,democrat,98.40665,0,
1980,11,86.1,1.25,0.061,90.8,84.7,82.7,77.3,7.5,59,democrat,98.28699,0,
1980,12,86.9,1.258,0.062,91.3,85.8,83.6,77.6,7.2,59,democrat,97.88239,0,
1981,1,87.5,1.298,0.063,91.6,86.3,84.5,78.7,7.5,59.1,democrat,97.71937,0,Reagan cut taxes
1981,2,88.5,1.382,0.064,92.1,86.3,85,79.6,7.4,59.2,republican,97.61518,0,
1981,3,89,1.417,0.065,92.6,86.7,85.6,80.2,7.4,59.4,republican,97.72472,0,
1981,4,89.6,1.412,0.066,92.8,87.3,86.3,80.8,7.2,59.6,republican,98.06828,0,
1981,5,90.3,1.4,0.067,92.8,88.6,87,81.4,7.5,59.5,republican,98.37076,0,
1981,6,91.1,1.391,0.071,93.2,89.9,88,82.1,7.5,59,republican,98.47387,0,
1981,7,92.2,1.382,0.073,93.9,91.5,89.8,83.2,7.2,59.1,republican,98.53336,0,
1981,8,92.8,1.376,0.075,94.4,92.5,90,84.3,7.4,59.1,republican,98.50589,0,
1981,9,93.7,1.376,0.074,94.8,93.9,90.6,84.9,7.6,58.7,republican,98.21767,0,
1981,10,93.9,1.371,0.072,95,93.8,91.7,85.8,7.9,58.8,republican,97.78909,0,
1981,11,94.1,1.369,0.071,95.1,94,92.4,86.8,8.3,58.6,republican,97.39766,0,
1981,12,94.4,1.365,0.071,95.3,94.3,92.8,87.3,8.5,58.2,republican,97.34789,0,
1982,1,94.7,1.358,0.073,95.6,94.4,93.5,88.2,8.6,58.2,republican,97.46358,0,recession ends inflation
1982,2,95,1.334,0.073,96.3,94.7,93.9,89,8.9,58.2,republican,97.36807,0,
1982,3,94.8,1.284,0.075,96.2,94.2,94.3,89.8,9,58.1,republican,97.22696,0,
1982,4,95.2,1.225,0.075,96.4,95.3,94.8,90.6,9.3,57.9,republican,97.26707,0,
1982,5,96.2,1.237,0.075,97.2,96.8,95.1,91.2,9.4,58.2,republican,97.34109,0,
1982,6,97.4,1.309,0.079,98.1,98,96.2,91.9,9.6,57.8,republican,97.33589,0,
1982,7,98,1.331,0.079,98.2,98.5,97,92.9,9.8,57.7,republican,97.35464,0,
1982,8,98.2,1.323,0.079,98,98.9,97.2,93.8,9.8,57.8,republican,97.49146,0,
1982,9,98.3,1.307,0.079,98.2,98.4,97.5,94.6,10.1,57.6,republican,97.77422,0,
1982,10,98.6,1.295,0.077,98.2,98.4,98.1,95.4,10.4,57.4,republican,98.02775,0,
1982,11,98.4,1.283,0.074,98.2,97.9,97.9,96.3,10.8,57.3,republican,98.09064,0,
1982,12,98,1.26,0.075,98.2,96.5,97.7,96.9,10.8,57.2,republican,98.08698,0,
1983,1,98.1,1.23,0.075,98.1,97.2,98,97.9,10.4,57.2,republican,98.19695,0,
1983,2,98.1,1.187,0.075,98.2,97.5,97.9,98.9,10.4,57.1,republican,98.63478,0,
1983,3,98.4,1.152,0.076,98.8,97.6,97.9,99.2,10.3,57.1,republican,99.34673,0,
1983,4,99,1.215,0.075,99.2,98.4,98.2,99.5,10.2,57.3,republican,100.1112,0,
1983,5,99.5,1.259,0.077,99.5,98.7,98.3,99.7,10.1,57.3,republican,100.6211,0,
1983,6,99.8,1.277,0.081,99.6,99,98.4,100.1,10.1,57.8,republican,100.7827,0,
1983,7,100.1,1.288,0.082,99.6,99.4,98.7,100.7,9.4,58.1,republican,100.7435,0,
1983,8,100.5,1.285,0.082,99.7,99.6,99.2,101.4,9.5,58.2,republican,100.5901,0,
1983,9,101,1.274,0.082,100,100.1,99.7,101.7,9.2,58.4,republican,100.4638,0,
