Record Date,Type of Account,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2021-01-14","Federal Reserve Account","1574375","1575875","1728569","1781679","I","Operating Cash Balance","Type of account","1","2021","2","2021","1","01","14"
"2021-01-14","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","2","2021","1","01","14"
"2021-01-14","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","2","2021","1","01","14"
"2021-01-13","Federal Reserve Account","1575875","1592556","1728569","1781679","I","Operating Cash Balance","Type of account","1","2021","2","2021","1","01","13"
"2021-01-13","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","2","2021","1","01","13"
"2021-01-13","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","2","2021","1","01","13"
"2021-01-12","Federal Reserve Account","1592556","1601940","1728569","1781679","I","Operating Cash Balance","Type of account","1","2021","2","2021","1","01","12"
"2021-01-12","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","2","2021","1","01","12"
"2021-01-12","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","2","2021","1","01","12"
"2021-01-11","Federal Reserve Account","1601940","1592940","1728569","1781679","I","Operating Cash Balance","Type of account","1","2021","2","2021","1","01","11"
"2021-01-11","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","2","2021","1","01","11"
"2021-01-11","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","2","2021","1","01","11"
"2021-01-08","Federal Reserve Account","1592940","1576756","1728569","1781679","I","Operating Cash Balance","Type of account","1","2021","2","2021","1","01","08"
"2021-01-08","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","2","2021","1","01","08"
"2021-01-08","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","2","2021","1","01","08"
"2021-01-07","Federal Reserve Account","1576756","1607396","1728569","1781679","I","Operating Cash Balance","Type of account","1","2021","2","2021","1","01","07"
"2021-01-07","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","2","2021","1","01","07"
