Record Date,Debt Held by the Public,Intragovernmental Holdings,Total Public Debt Outstanding,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2021-01-14","21578746189841.36","6103482418680.01","27682228608521.37","1","2021","2","2021","1","01","14"
"2021-01-13","21578677363278.05","6100723496587.72","27679400859865.77","1","2021","2","2021","1","01","13"
"2021-01-12","21578917911758.87","6117872742410.37","27696790654169.24","1","2021","2","2021","1","01","12"
"2021-01-11","21578169824451.13","6110077560304.61","27688247384755.74","1","2021","2","2021","1","01","11"
"2021-01-08","21578440452769.64","6104606780437.34","27683047233206.98","1","2021","2","2021","1","01","08"
"2021-01-07","21578759710032.75","6104491176445.28","27683250886478.03","1","2021","2","2021","1","01","07"
"2021-01-06","21595719334374.14","6103266615616.80","27698985949990.94","1","2021","2","2021","1","01","06"
"2021-01-05","21593996935176.88","6104160478628.53","27698157413805.41","1","2021","2","2021","1","01","05"
"2021-01-04","21593320887989.85","6084954082438.08","27678274970427.93","1","2021","2","2021","1","01","04"
"2020-12-31","21632418904104.24","6115379043563.53","27747797947667.77","1","2021","1","2020","4","12","31"
"2020-12-30","21468468575442.99","6092040322428.54","27560508897871.53","1","2021","1","2020","4","12","30"
"2020-12-29","21468460859105.23","6082369779075.99","27550830638181.22","1","2021","1","2020","4","12","29"
"2020-12-28","21468928694819.93","6073609510177.27","27542538204997.20","1","2021","1","2020","4","12","28"
"2020-12-24","21445028388848.74","6070482202955.65","27515510591804.39","1","2021","1","2020","4","12","24"
"2020-12-23","21448157219574.36","6068569641613.23","27516726861187.59","1","2021","1","2020","4","12","23"
"2020-12-22","21447826256733.93","6074489832877.40","27522316089611.33","1","2021","1","2020","4","12","22"
"2020-12-21","21447615134294.27","6065291889748.70","27512907024042.97","1","2021","1","2020","4","12","21"
"2020-12-18","21446525279996.38","6044940933359.78","27491466213356.16","1","2021","1","2020","4","12","18"
"2020-12-17","21446462125522.42","6060426761349.15","27506888886871.57","1","2021","1","2020","4","12","17"
"2020-12-16","21447890639089.95","6052616977063.35","27500507616153.30","1","2021","1","2020","4","12","16"
"2020-12-15","21448041180088.84","6064721314363.99","27512762494452.83","1","2021","1","2020","4","12","15"
"2020-12-14","21350931649169.06","6039724690213.91","27390656339382.97","1","2021","1","2020","4","12","14"
"2020-12-11","21351136018070.62","6034286365098.85","27385422383169.47","1","2021","1","2020","4","12","11"
"2020-12-10","21351415809631.68","6034408359881.83","27385824169513.51","1","2021","1","2020","4","12","10"
"2020-12-09","21354173060785.25","6050902700094.36","27405075760879.61","1","2021","1","2020","4","12","09"
"2020-12-08","21354421153858.66","6068352181713.39","27422773335572.05","1","2021","1","2020","4","12","08"
"2020-12-07","21354702143101.98","6060042400918.53","27414744544020.51","1","2021","1","2020","4","12","07"
"2020-12-04","21355692695821.43","6058423451462.27","27414116147283.70","1","2021","1","2020","4","12","04"
"2020-12-03","21356282431555.87","6057825407206.36","27414107838762.23","1","2021","1","2020","4","12","03"
"2020-12-02","21341926023922.18","6070387141183.46","27412313165105.64","1","2021","1","2020","4","12","02"
"2020-12-01","21342192975117.14","6063882707263.37","27406075682380.51","1","2021","1","2020","4","12","01"
"2020-11-30","21349471573310.81","6096816614939.36","27446288188250.17","1","2021","1","2020","4","11","30"
"2020-11-27","21218611743445.49","6057003752955.67","27275615496401.16","1","2021","1","2020","4","11","27"
"2020-11-25","21197640169859.85","6056550011420.35","27254190181280.20","1","2021","1","2020","4","11","25"
"2020-11-24","21198286608971.91","6071729311011.39","27270015919983.30","1","2021","1","2020","4","11","24"
"2020-11-23","21208012856822.73","6046402746324.61","27254415603147.34","1","2021","1","2020","4","11","23"
"2020-11-20","21207839089467.21","6039339151373.58","27247178240840.79","1","2021","1","2020","4","11","20"
"2020-11-19","21207842418951.08","6040220872216.34","27248063291167.42","1","2021","1","2020","4","11","19"
"2020-11-18","21209702993449.06","6036896179008.36","27246599172457.42","1","2021","1","2020","4","11","18"
"2020-11-17","21209227717633.17","6052762506936.69","27261990224569.86","1","2021","1","2020","4","11","17"
"2020-11-16","21217654666054.23","6040044008839.15","27257698674893.38","1","2021","1","2020","4","11","16"
"2020-11-13","21157219754436.15","6034565748537.80","27191785502973.95","1","2021","1","2020","4","11","13"
"2020-11-12","21157165930153.58","6033010895935.46","27190176826089.04","1","2021","1","2020","4","11","12"
"2020-11-10","21163144517488.27","6034590754858.75","27197735272347.02","1","2021","1","2020","4","11","10"
"2020-11-09","21173686134292.27","6046212761370.60","27219898895662.87","1","2021","1","2020","4","11","09"
"2020-11-06","21172132485311.66","6042361031199.64","27214493516511.30","1","2021","1","2020","4","11","06"
"2020-11-05","21172491717247.34","6044493315749.73","27216985032997.07","1","2021","1","2020","4","11","05"
"2020-11-04","21158958097657.07","6038010910206.76","27196969007863.83","1","2021","1","2020","4","11","04"
"2020-11-03","21158510032160.09","6038065036294.97","27196575068455.06","1","2021","1","2020","4","11","03"
"2020-11-02","21166249325865.81","6037135057073.48","27203384382939.29","1","2021","1","2020","4","11","02"
"2020-10-30","21096955697143.00","6038521105983.20","27135476803126.20","1","2021","1","2020","4","10","30"
"2020-10-29","21079776286056.41","6089721989634.29","27169498275690.70","1","2021","1","2020","4","10","29"
"2020-10-28","21076243138324.22","6091196312766.43","27167439451090.65","1","2021","1","2020","4","10","28"
"2020-10-27","21074340817490.10","6101525958376.74","27175866775866.84","1","2021","1","2020","4","10","27"
"2020-10-26","21083127197363.99","6096870537043.29","27179997734407.28","1","2021","1","2020","4","10","26"
"2020-10-23","21083992291444.08","6079493309510.87","27163485600954.95","1","2021","1","2020","4","10","23"
"2020-10-22","21084374495610.87","6066461190370.74","27150835685981.61","1","2021","1","2020","4","10","22"
"2020-10-21","21090454496181.80","6050309961745.95","27140764457927.75","1","2021","1","2020","4","10","21"
"2020-10-20","21089258084152.73","6066053260149.84","27155311344302.57","1","2021","1","2020","4","10","20"
"2020-10-19","21097983329140.83","6059731341484.90","27157714670625.73","1","2021","1","2020","4","10","19"
"2020-10-16","21097612015329.51","6050716708658.82","27148328723988.33","1","2021","1","2020","4","10","16"
"2020-10-15","21097401111521.33","6046264302910.27","27143665414431.60","1","2021","1","2020","4","10","15"
"2020-10-14","21017955322855.86","6039907401836.22","27057862724692.08","1","2021","1","2020","4","10","14"
"2020-10-13","21016869712763.46","6050200443741.50","27067070156504.96","1","2021","1","2020","4","10","13"
"2020-10-09","21025048295574.08","6047633050798.77","27072681346372.85","1","2021","1","2020","4","10","09"
"2020-10-08","21025422363846.53","6047684653135.78","27073107016982.31","1","2021","1","2020","4","10","08"
"2020-10-07","21010465532077.43","6042529975175.76","27052995507253.19","1","2021","1","2020","4","10","07"
"2020-10-06","21008381342943.40","6043808775575.87","27052190118519.27","1","2021","1","2020","4","10","06"
"2020-10-05","21016404227199.88","6034731731010.12","27051135958210.00","1","2021","1","2020","4","10","05"
"2020-10-02","21015385461953.38","6029306368056.80","27044691830010.18","1","2021","1","2020","4","10","02"
"2020-10-01","21015326142875.29","6011595792557.12","27026921935432.41","1","2021","1","2020","4","10","01"
"2020-09-30","21018952080385.63","5926439114229.52","26945391194615.15","1","2020","4","2020","3","09","30"
"2020-09-29","20903722526048.68","5886686323074.26","26790408849122.94","1","2020","4","2020","3","09","29"
"2020-09-28","20912955980381.15","5898453746116.18","26811409726497.33","1","2020","4","2020","3","09","28"
"2020-09-25","20913614093095.84","5897284418828.47","26810898511924.31","1","2020","4","2020","3","09","25"
"2020-09-24","20891109397593.75","5895022952779.60","26786132350373.35","1","2020","4","2020","3","09","24"
"2020-09-23","20890465946735.07","5887336011247.80","26777801957982.87","1","2020","4","2020","3","09","23"
"2020-09-22","20890403542124.78","5900581969606.90","26790985511731.68","1","2020","4","2020","3","09","22"
"2020-09-21","20903518934800.92","5891148909254.73","26794667844055.65","1","2020","4","2020","3","09","21"
"2020-09-18","20903123720719.24","5887264062964.45","26790387783683.69","1","2020","4","2020","3","09","18"
"2020-09-17","20902736906992.54","5887707509965.64","26790444416958.18","1","2020","4","2020","3","09","17"
"2020-09-16","20901066700028.11","5880471466881.62","26781538166909.73","1","2020","4","2020","3","09","16"
"2020-09-15","20899183125928.77","5891320713189.51","26790503839118.28","1","2020","4","2020","3","09","15"
"2020-09-14","20835330718048.11","5879745043600.83","26715075761648.94","1","2020","4","2020","3","09","14"
"2020-09-11","20834490036761.48","5876388983230.87","26710879019992.35","1","2020","4","2020","3","09","11"
"2020-09-10","20833992369400.21","5875556790948.64","26709549160348.85","1","2020","4","2020","3","09","10"
"2020-09-09","20818231086830.76","5878992290803.45","26697223377634.21","1","2020","4","2020","3","09","09"
"2020-09-08","20814037207734.74","5885335971279.72","26699373179014.46","1","2020","4","2020","3","09","08"
"2020-09-04","20843497254129.55","5879812994442.54","26723310248572.09","1","2020","4","2020","3","09","04"
"2020-09-03","20842647539754.64","5880027240330.53","26722674780085.17","1","2020","4","2020","3","09","03"
"2020-09-02","20832904201163.69","5878583740781.38","26711487941945.07","1","2020","4","2020","3","09","02"
"2020-09-01","20831829321818.21","5871122002227.36","26702951324045.57","1","2020","4","2020","3","09","01"
"2020-08-31","20822038395784.06","5906797456602.38","26728835852386.44","1","2020","4","2020","3","08","31"
"2020-08-28","20728399179895.89","5908514260979.47","26636913440875.36","1","2020","4","2020","3","08","28"
"2020-08-27","20706040194248.80","5909612962437.01","26615653156685.81","1","2020","4","2020","3","08","27"
"2020-08-26","20699215627374.74","5909809764813.72","26609025392188.46","1","2020","4","2020","3","08","26"
"2020-08-25","20698890567632.38","5927397112257.67","26626287679890.05","1","2020","4","2020","3","08","25"
"2020-08-24","20687039152758.81","5913064574437.05","26600103727195.86","1","2020","4","2020","3","08","24"
"2020-08-21","20686347281326.49","5910665248306.82","26597012529633.31","1","2020","4","2020","3","08","21"
"2020-08-20","20686047542443.54","5909553260448.82","26595600802892.36","1","2020","4","2020","3","08","20"
"2020-08-19","20677829765197.63","5900297373419.77","26578127138617.40","1","2020","4","2020","3","08","19"
"2020-08-18","20677341061204.90","5917661036184.02","26595002097388.92","1","2020","4","2020","3","08","18"
"2020-08-17","20675781863412.34","5904062433171.87","26579844296584.21","1","2020","4","2020","3","08","17"
"2020-08-14","20614743112528.87","5893996902813.85","26508740015342.72","1","2020","4","2020","3","08","14"
"2020-08-13","20614305019013.95","5895391608530.97","26509696627544.92","1","2020","4","2020","3","08","13"
"2020-08-12","20595620290631.63","5893184077516.59","26488804368148.22","1","2020","4","2020","3","08","12"
"2020-08-11","20593555758439.35","5909593934131.90","26503149692571.25","1","2020","4","2020","3","08","11"
"2020-08-10","20602395595705.06","5903091879409.50","26505487475114.56","1","2020","4","2020","3","08","10"
"2020-08-07","20601430782095.04","5897002514076.22","26498433296171.26","1","2020","4","2020","3","08","07"
"2020-08-06","20601228490475.07","5897104426590.86","26498332917065.93","1","2020","4","2020","3","08","06"
"2020-08-05","20608720828297.64","5895578701319.82","26504299529617.46","1","2020","4","2020","3","08","05"
"2020-08-04","20607116213547.84","5896121345173.34","26503237558721.18","1","2020","4","2020","3","08","04"
"2020-08-03","20631639311469.31","5879515652660.75","26511154964130.06","1","2020","4","2020","3","08","03"
"2020-07-31","20634399708136.40","5890553743441.20","26524953451577.60","1","2020","4","2020","3","07","31"
"2020-07-30","20571972112207.36","5933343187761.62","26505315299968.98","1","2020","4","2020","3","07","30"
"2020-07-29","20584415231346.35","5935989833713.22","26520405065059.57","1","2020","4","2020","3","07","29"
"2020-07-28","20584109576599.66","5937439108569.89","26521548685169.55","1","2020","4","2020","3","07","28"
"2020-07-27","20613829476218.54","5932855195339.20","26546684671557.74","1","2020","4","2020","3","07","27"
"2020-07-24","20613985069366.96","5922808101648.83","26536793171015.79","1","2020","4","2020","3","07","24"
"2020-07-23","20614085168487.62","5924789560070.25","26538874728557.87","1","2020","4","2020","3","07","23"
"2020-07-22","20571200822079.13","5920570063185.88","26491770885265.01","1","2020","4","2020","3","07","22"
"2020-07-21","20568775046149.69","5937090365150.87","26505865411300.56","1","2020","4","2020","3","07","21"
"2020-07-20","20612265803536.08","5921855114725.21","26534120918261.29","1","2020","4","2020","3","07","20"
"2020-07-17","20612219680437.71","5920145726911.40","26532365407349.11","1","2020","4","2020","3","07","17"
"2020-07-16","20611921079550.83","5917339138678.45","26529260218229.28","1","2020","4","2020","3","07","16"
"2020-07-15","20574380830507.80","5911091609553.12","26485472440060.92","1","2020","4","2020","3","07","15"
"2020-07-14","20539873335812.51","5909778434443.54","26449651770256.05","1","2020","4","2020","3","07","14"
"2020-07-13","20583461928475.00","5904639271901.64","26488101200376.64","1","2020","4","2020","3","07","13"
"2020-07-10","20583643590483.90","5901443005856.50","26485086596340.40","1","2020","4","2020","3","07","10"
"2020-07-09","20583805536797.77","5904003221453.18","26487808758250.95","1","2020","4","2020","3","07","09"
"2020-07-08","20556762712165.80","5889983666445.02","26446746378610.82","1","2020","4","2020","3","07","08"
"2020-07-07","20554746176759.01","5906088060271.54","26460834237030.55","1","2020","4","2020","3","07","07"
"2020-07-06","20558806159126.36","5901550077909.24","26460356237035.60","1","2020","4","2020","3","07","06"
